Enrollment_Id,Name,PointsAwarded,PointsPossible
633,Exam 1,53.33,100.00
633,Exam 2,82.22,100.00
633,Extra Credit,1.00,8.00
633,Quiz 1,9.00,13.00
633,Quiz 10,1.00,1.00
633,Quiz 2,9.00,15.00
633,Quiz 3,8.00,15.00
633,Quiz 4,0.00,1.00
633,Quiz 5,15.00,20.00
633,Quiz 6,18.00,20.00
633,Quiz 7,18.00,20.00
633,Quiz 8,13.00,20.00
633,Quiz 9,1.00,1.00
634,A1 Final Score,47.25,100.00
634,A2 Final Score,69.96,100.00
634,A3 Final Score,92.80,100.00
634,Attendance Quiz 1,0.00,1.00
634,Attendance Quiz 10,0.00,1.00
634,Attendance Quiz 2,1.00,1.00
634,Attendance Quiz 3,0.00,1.00
634,Attendance Quiz 4,1.00,1.00
634,Attendance Quiz 5,1.00,1.00
634,Attendance Quiz 6,1.00,1.00
634,Attendance Quiz 7,1.00,1.00
634,Attendance Quiz 8,0.00,1.00
634,Attendance Quiz 9,0.00,100.00
634,Exam 1,60.00,100.00
634,Exam 2,84.44,100.00
634,Extra Credit,2.00,8.00
634,Quiz 1,0.00,13.00
634,Quiz 10,1.00,1.00
634,Quiz 2,9.00,15.00
634,Quiz 3,12.00,15.00
634,Quiz 4,0.00,1.00
634,Quiz 5,13.00,20.00
634,Quiz 6,14.00,20.00
634,Quiz 7,14.00,20.00
634,Quiz 8,0.00,20.00
634,Quiz 9,1.00,1.00
635,A1 Final Score,96.25,100.00
635,A2 Final Score,96.80,100.00
635,A3 Final Score,86.23,100.00
635,Attendance Quiz 1,1.00,1.00
635,Attendance Quiz 10,1.00,1.00
635,Attendance Quiz 2,0.00,1.00
635,Attendance Quiz 3,1.00,1.00
635,Attendance Quiz 4,1.00,1.00
635,Attendance Quiz 5,1.00,1.00
635,Attendance Quiz 6,1.00,1.00
635,Attendance Quiz 7,1.00,1.00
635,Attendance Quiz 8,1.00,1.00
635,Attendance Quiz 9,100.00,100.00
635,Exam 1,68.89,100.00
635,Exam 2,86.67,100.00
635,Extra Credit,5.00,8.00
635,Quiz 1,8.00,13.00
635,Quiz 10,1.00,1.00
635,Quiz 2,8.00,15.00
635,Quiz 3,9.00,15.00
635,Quiz 4,1.00,1.00
635,Quiz 5,13.00,20.00
635,Quiz 6,18.00,20.00
635,Quiz 7,18.00,20.00
635,Quiz 8,18.00,20.00
635,Quiz 9,1.00,1.00
636,A1 Final Score,92.39,100.00
636,A2 Final Score,95.80,100.00
636,A3 Final Score,86.42,100.00
636,Attendance Quiz 1,1.00,1.00
636,Attendance Quiz 10,1.00,1.00
636,Attendance Quiz 2,1.00,1.00
636,Attendance Quiz 3,0.00,1.00
636,Attendance Quiz 4,1.00,1.00
636,Attendance Quiz 5,1.00,1.00
636,Attendance Quiz 6,1.00,1.00
636,Attendance Quiz 7,1.00,1.00
636,Attendance Quiz 8,1.00,1.00
636,Attendance Quiz 9,100.00,100.00
636,Exam 1,75.56,100.00
636,Exam 2,84.00,100.00
636,Extra Credit,8.00,8.00
636,Quiz 1,9.00,13.00
636,Quiz 10,1.00,1.00
636,Quiz 2,0.00,15.00
636,Quiz 3,10.00,15.00
636,Quiz 4,1.00,1.00
636,Quiz 5,15.00,20.00
636,Quiz 6,18.00,20.00
636,Quiz 7,20.00,20.00
636,Quiz 8,13.00,20.00
636,Quiz 9,1.00,1.00
637,A1 Final Score,90.16,100.00
637,A2 Final Score,95.15,100.00
637,A3 Final Score,93.25,100.00
637,Attendance Quiz 1,1.00,1.00
637,Attendance Quiz 10,1.00,1.00
637,Attendance Quiz 2,1.00,1.00
637,Attendance Quiz 3,1.00,1.00
637,Attendance Quiz 4,1.00,1.00
637,Attendance Quiz 5,1.00,1.00
637,Attendance Quiz 6,1.00,1.00
637,Attendance Quiz 7,1.00,1.00
637,Attendance Quiz 8,1.00,1.00
637,Attendance Quiz 9,100.00,100.00
637,Exam 1,82.22,100.00
637,Exam 2,106.67,100.00
637,Extra Credit,6.00,8.00
637,Quiz 1,11.00,13.00
637,Quiz 10,1.00,1.00
637,Quiz 2,13.00,15.00
637,Quiz 3,12.00,15.00
637,Quiz 4,1.00,1.00
637,Quiz 5,18.00,20.00
637,Quiz 6,20.00,20.00
637,Quiz 7,20.00,20.00
637,Quiz 8,18.00,20.00
637,Quiz 9,1.00,1.00
638,A1 Final Score,83.25,100.00
638,A2 Final Score,88.60,100.00
638,A3 Final Score,72.91,100.00
638,Attendance Quiz 1,0.00,1.00
638,Attendance Quiz 10,0.00,1.00
638,Attendance Quiz 2,1.00,1.00
638,Attendance Quiz 3,1.00,1.00
638,Attendance Quiz 4,1.00,1.00
638,Attendance Quiz 5,1.00,1.00
638,Attendance Quiz 6,1.00,1.00
638,Attendance Quiz 7,1.00,1.00
638,Attendance Quiz 8,1.00,1.00
638,Attendance Quiz 9,100.00,100.00
638,Exam 1,62.50,100.00
638,Exam 2,64.44,100.00
638,Extra Credit,1.00,8.00
638,Quiz 1,0.00,13.00
638,Quiz 10,1.00,1.00
638,Quiz 2,10.00,15.00
638,Quiz 3,8.00,15.00
638,Quiz 4,0.00,1.00
638,Quiz 5,14.00,20.00
638,Quiz 6,17.00,20.00
638,Quiz 7,17.00,20.00
638,Quiz 8,19.00,20.00
638,Quiz 9,0.00,1.00
639,A1 Final Score,95.50,100.00
639,A2 Final Score,95.40,100.00
639,A3 Final Score,90.40,100.00
639,Attendance Quiz 1,1.00,1.00
639,Attendance Quiz 10,1.00,1.00
639,Attendance Quiz 2,1.00,1.00
639,Attendance Quiz 3,1.00,1.00
639,Attendance Quiz 4,1.00,1.00
639,Attendance Quiz 5,1.00,1.00
639,Attendance Quiz 6,1.00,1.00
639,Attendance Quiz 7,1.00,1.00
639,Attendance Quiz 8,1.00,1.00
639,Attendance Quiz 9,100.00,100.00
639,Exam 1,91.11,100.00
639,Exam 2,95.56,100.00
639,Extra Credit,5.00,8.00
639,Quiz 1,11.00,13.00
639,Quiz 10,1.00,1.00
639,Quiz 2,12.00,15.00
639,Quiz 3,12.00,15.00
639,Quiz 4,1.00,1.00
639,Quiz 5,14.00,20.00
639,Quiz 6,19.00,20.00
639,Quiz 7,19.00,20.00
639,Quiz 8,19.00,20.00
639,Quiz 9,1.00,1.00
640,A1 Final Score,97.25,100.00
640,A2 Final Score,95.84,100.00
640,A3 Final Score,92.35,100.00
640,Attendance Quiz 1,1.00,1.00
640,Attendance Quiz 10,1.00,1.00
640,Attendance Quiz 2,1.00,1.00
640,Attendance Quiz 3,1.00,1.00
640,Attendance Quiz 4,1.00,1.00
640,Attendance Quiz 5,1.00,1.00
640,Attendance Quiz 6,1.00,1.00
640,Attendance Quiz 7,1.00,1.00
640,Attendance Quiz 8,1.00,1.00
640,Attendance Quiz 9,100.00,100.00
640,Exam 1,67.00,100.00
640,Exam 2,84.44,100.00
640,Extra Credit,8.00,8.00
640,Quiz 1,6.00,13.00
640,Quiz 10,1.00,1.00
640,Quiz 2,9.00,15.00
640,Quiz 3,9.00,15.00
640,Quiz 4,1.00,1.00
640,Quiz 5,13.00,20.00
640,Quiz 6,18.00,20.00
640,Quiz 7,18.00,20.00
640,Quiz 8,20.00,20.00
640,Quiz 9,1.00,1.00
641,A1 Final Score,96.79,100.00
641,A2 Final Score,89.60,100.00
641,A3 Final Score,92.70,100.00
641,Attendance Quiz 1,1.00,1.00
641,Attendance Quiz 10,1.00,1.00
641,Attendance Quiz 2,1.00,1.00
641,Attendance Quiz 3,1.00,1.00
641,Attendance Quiz 4,1.00,1.00
641,Attendance Quiz 5,1.00,1.00
641,Attendance Quiz 6,1.00,1.00
641,Attendance Quiz 7,1.00,1.00
641,Attendance Quiz 8,1.00,1.00
641,Attendance Quiz 9,100.00,100.00
641,Exam 1,75.56,100.00
641,Exam 2,88.89,100.00
641,Extra Credit,3.00,8.00
641,Quiz 1,8.00,13.00
641,Quiz 10,1.00,1.00
641,Quiz 2,0.00,15.00
641,Quiz 3,12.00,15.00
641,Quiz 4,1.00,1.00
641,Quiz 5,14.00,20.00
641,Quiz 6,13.00,20.00
641,Quiz 7,13.00,20.00
641,Quiz 8,20.00,20.00
641,Quiz 9,1.00,1.00
642,A1 Final Score,97.00,100.00
642,A2 Final Score,89.30,100.00
642,A3 Final Score,91.43,100.00
642,Attendance Quiz 1,1.00,1.00
642,Attendance Quiz 10,1.00,1.00
642,Attendance Quiz 2,1.00,1.00
642,Attendance Quiz 3,1.00,1.00
642,Attendance Quiz 4,1.00,1.00
642,Attendance Quiz 5,1.00,1.00
642,Attendance Quiz 6,1.00,1.00
642,Attendance Quiz 7,1.00,1.00
642,Attendance Quiz 8,1.00,1.00
642,Attendance Quiz 9,100.00,100.00
642,Exam 1,73.33,100.00
642,Exam 2,82.22,100.00
642,Extra Credit,1.00,8.00
642,Quiz 1,10.00,13.00
642,Quiz 10,1.00,1.00
642,Quiz 2,0.00,15.00
642,Quiz 3,0.00,15.00
642,Quiz 4,1.00,1.00
642,Quiz 5,14.00,20.00
642,Quiz 6,13.00,20.00
642,Quiz 7,13.00,20.00
642,Quiz 8,20.00,20.00
642,Quiz 9,1.00,1.00
643,A1 Final Score,95.35,100.00
643,A2 Final Score,65.40,100.00
643,A3 Final Score,65.40,100.00
643,Attendance Quiz 1,1.00,1.00
643,Attendance Quiz 10,1.00,1.00
643,Attendance Quiz 2,1.00,1.00
643,Attendance Quiz 3,1.00,1.00
643,Attendance Quiz 4,1.00,1.00
643,Attendance Quiz 5,1.00,1.00
643,Attendance Quiz 6,1.00,1.00
643,Attendance Quiz 7,1.00,1.00
643,Attendance Quiz 8,1.00,1.00
643,Attendance Quiz 9,100.00,100.00
643,Exam 1,75.56,100.00
643,Exam 2,86.67,100.00
643,Extra Credit,0.00,8.00
643,Quiz 1,11.00,13.00
643,Quiz 10,1.00,1.00
643,Quiz 2,12.00,15.00
643,Quiz 3,9.00,15.00
643,Quiz 4,1.00,1.00
643,Quiz 5,12.00,20.00
643,Quiz 6,16.00,20.00
643,Quiz 7,16.00,20.00
643,Quiz 8,15.00,20.00
643,Quiz 9,1.00,1.00
644,A1 Final Score,40.43,100.00
644,A2 Final Score,48.80,100.00
644,A3 Final Score,60.04,100.00
644,Attendance Quiz 1,0.00,1.00
644,Attendance Quiz 10,0.00,1.00
644,Attendance Quiz 2,1.00,1.00
644,Attendance Quiz 3,0.00,1.00
644,Attendance Quiz 4,1.00,1.00
644,Attendance Quiz 5,1.00,1.00
644,Attendance Quiz 6,1.00,1.00
644,Attendance Quiz 7,1.00,1.00
644,Attendance Quiz 8,1.00,1.00
644,Attendance Quiz 9,100.00,100.00
644,Exam 1,62.22,100.00
644,Exam 2,60.00,100.00
644,Extra Credit,0.00,8.00
644,Quiz 1,12.00,13.00
644,Quiz 10,1.00,1.00
644,Quiz 2,0.00,15.00
644,Quiz 3,9.00,15.00
644,Quiz 4,1.00,1.00
644,Quiz 5,15.00,20.00
644,Quiz 6,0.00,20.00
644,Quiz 7,0.00,20.00
644,Quiz 8,15.00,20.00
644,Quiz 9,1.00,1.00
645,A1 Final Score,93.75,100.00
645,A2 Final Score,82.70,100.00
645,A3 Final Score,79.55,100.00
645,Attendance Quiz 1,1.00,1.00
645,Attendance Quiz 10,1.00,1.00
645,Attendance Quiz 2,1.00,1.00
645,Attendance Quiz 3,1.00,1.00
645,Attendance Quiz 4,1.00,1.00
645,Attendance Quiz 5,1.00,1.00
645,Attendance Quiz 6,1.00,1.00
645,Attendance Quiz 7,1.00,1.00
645,Attendance Quiz 8,1.00,1.00
645,Attendance Quiz 9,100.00,100.00
645,Exam 1,80.00,100.00
645,Exam 2,80.00,100.00
645,Extra Credit,5.00,8.00
645,Quiz 1,8.00,13.00
645,Quiz 10,1.00,1.00
645,Quiz 2,7.00,15.00
645,Quiz 3,8.00,15.00
645,Quiz 4,1.00,1.00
645,Quiz 5,16.00,20.00
645,Quiz 6,13.00,20.00
645,Quiz 7,13.00,20.00
645,Quiz 8,11.00,20.00
645,Quiz 9,1.00,1.00
646,A1 Final Score,89.54,100.00
646,A2 Final Score,88.27,100.00
646,A3 Final Score,30.98,100.00
646,Attendance Quiz 1,1.00,1.00
646,Attendance Quiz 10,0.00,1.00
646,Attendance Quiz 2,1.00,1.00
646,Attendance Quiz 3,0.00,1.00
646,Attendance Quiz 4,1.00,1.00
646,Attendance Quiz 5,0.00,1.00
646,Attendance Quiz 6,1.00,1.00
646,Attendance Quiz 7,1.00,1.00
646,Attendance Quiz 8,0.00,1.00
646,Attendance Quiz 9,0.00,100.00
646,Exam 1,67.50,100.00
646,Exam 2,71.11,100.00
646,Extra Credit,3.00,8.00
646,Quiz 1,8.00,13.00
646,Quiz 10,1.00,1.00
646,Quiz 2,7.00,15.00
646,Quiz 3,6.00,15.00
646,Quiz 4,1.00,1.00
646,Quiz 5,0.00,20.00
646,Quiz 6,0.00,20.00
646,Quiz 7,0.00,20.00
646,Quiz 8,13.00,20.00
646,Quiz 9,0.00,1.00
647,A1 Final Score,49.25,100.00
647,A2 Final Score,87.86,100.00
647,A3 Final Score,59.40,100.00
647,Attendance Quiz 1,1.00,1.00
647,Attendance Quiz 10,0.00,1.00
647,Attendance Quiz 2,1.00,1.00
647,Attendance Quiz 3,0.00,1.00
647,Attendance Quiz 4,1.00,1.00
647,Attendance Quiz 5,1.00,1.00
647,Attendance Quiz 6,0.00,1.00
647,Attendance Quiz 7,1.00,1.00
647,Attendance Quiz 8,1.00,1.00
647,Attendance Quiz 9,100.00,100.00
647,Exam 1,77.78,100.00
647,Exam 2,91.11,100.00
647,Extra Credit,0.00,8.00
647,Quiz 1,9.00,13.00
647,Quiz 10,1.00,1.00
647,Quiz 2,0.00,15.00
647,Quiz 3,13.00,15.00
647,Quiz 4,1.00,1.00
647,Quiz 5,16.00,20.00
647,Quiz 6,0.00,20.00
647,Quiz 7,0.00,20.00
647,Quiz 8,0.00,20.00
647,Quiz 9,1.00,1.00
648,A1 Final Score,94.04,100.00
648,A2 Final Score,77.72,100.00
648,A3 Final Score,78.44,100.00
648,Attendance Quiz 1,1.00,1.00
648,Attendance Quiz 10,1.00,1.00
648,Attendance Quiz 2,1.00,1.00
648,Attendance Quiz 3,1.00,1.00
648,Attendance Quiz 4,1.00,1.00
648,Attendance Quiz 5,1.00,1.00
648,Attendance Quiz 6,0.00,1.00
648,Attendance Quiz 7,0.00,1.00
648,Attendance Quiz 8,1.00,1.00
648,Attendance Quiz 9,100.00,100.00
648,Exam 1,71.11,100.00
648,Exam 2,82.22,100.00
648,Extra Credit,3.00,8.00
648,Quiz 1,9.00,13.00
648,Quiz 10,1.00,1.00
648,Quiz 2,9.00,15.00
648,Quiz 3,9.00,15.00
648,Quiz 4,1.00,1.00
648,Quiz 5,0.00,20.00
648,Quiz 6,0.00,20.00
648,Quiz 7,0.00,20.00
648,Quiz 8,13.00,20.00
648,Quiz 9,1.00,1.00
649,A1 Final Score,88.75,100.00
649,A2 Final Score,45.26,100.00
649,A3 Final Score,40.00,100.00
649,Attendance Quiz 1,0.00,1.00
649,Attendance Quiz 10,0.00,1.00
649,Attendance Quiz 2,1.00,1.00
649,Attendance Quiz 3,1.00,1.00
649,Attendance Quiz 4,0.00,1.00
649,Attendance Quiz 5,0.00,1.00
649,Attendance Quiz 6,0.00,1.00
649,Attendance Quiz 7,0.00,1.00
649,Attendance Quiz 8,0.00,1.00
649,Attendance Quiz 9,0.00,100.00
649,Exam 1,52.50,100.00
649,Exam 2,0.00,100.00
649,Extra Credit,1.00,8.00
649,Quiz 1,0.00,13.00
649,Quiz 10,0.00,1.00
649,Quiz 2,0.00,15.00
649,Quiz 3,0.00,15.00
649,Quiz 4,0.00,1.00
649,Quiz 5,0.00,20.00
649,Quiz 6,0.00,20.00
649,Quiz 7,0.00,20.00
649,Quiz 8,0.00,20.00
649,Quiz 9,0.00,1.00
650,A1 Final Score,90.00,100.00
650,A2 Final Score,83.60,100.00
650,A3 Final Score,87.70,100.00
650,Attendance Quiz 1,1.00,1.00
650,Attendance Quiz 10,1.00,1.00
650,Attendance Quiz 2,1.00,1.00
650,Attendance Quiz 3,1.00,1.00
650,Attendance Quiz 4,1.00,1.00
650,Attendance Quiz 5,1.00,1.00
650,Attendance Quiz 6,1.00,1.00
650,Attendance Quiz 7,1.00,1.00
650,Attendance Quiz 8,1.00,1.00
650,Attendance Quiz 9,100.00,100.00
650,Exam 1,73.33,100.00
650,Exam 2,95.56,100.00
650,Extra Credit,1.00,8.00
650,Quiz 1,9.00,13.00
650,Quiz 10,1.00,1.00
650,Quiz 2,6.00,15.00
650,Quiz 3,13.00,15.00
650,Quiz 4,1.00,1.00
650,Quiz 5,14.00,20.00
650,Quiz 6,16.00,20.00
650,Quiz 7,16.00,20.00
650,Quiz 8,20.00,20.00
650,Quiz 9,1.00,1.00
651,A1 Final Score,79.50,100.00
651,A2 Final Score,91.70,100.00
651,A3 Final Score,72.16,100.00
651,Attendance Quiz 1,1.00,1.00
651,Attendance Quiz 10,1.00,1.00
651,Attendance Quiz 2,1.00,1.00
651,Attendance Quiz 3,0.00,1.00
651,Attendance Quiz 4,1.00,1.00
651,Attendance Quiz 5,1.00,1.00
651,Attendance Quiz 6,1.00,1.00
651,Attendance Quiz 7,1.00,1.00
651,Attendance Quiz 8,1.00,1.00
651,Attendance Quiz 9,100.00,100.00
651,Exam 1,71.11,100.00
651,Exam 2,77.78,100.00
651,Extra Credit,0.00,8.00
651,Quiz 1,4.00,13.00
651,Quiz 10,1.00,1.00
651,Quiz 2,10.00,15.00
651,Quiz 3,9.00,15.00
651,Quiz 4,1.00,1.00
651,Quiz 5,17.00,20.00
651,Quiz 6,16.00,20.00
651,Quiz 7,16.00,20.00
651,Quiz 8,14.00,20.00
651,Quiz 9,0.00,1.00
652,A1 Final Score,70.63,100.00
652,A2 Final Score,92.40,100.00
652,A3 Final Score,83.10,100.00
652,Attendance Quiz 1,1.00,1.00
652,Attendance Quiz 10,0.00,1.00
652,Attendance Quiz 2,1.00,1.00
652,Attendance Quiz 3,1.00,1.00
652,Attendance Quiz 4,1.00,1.00
652,Attendance Quiz 5,1.00,1.00
652,Attendance Quiz 6,1.00,1.00
652,Attendance Quiz 7,0.00,1.00
652,Attendance Quiz 8,1.00,1.00
652,Attendance Quiz 9,100.00,100.00
652,Exam 1,64.44,100.00
652,Exam 2,66.67,100.00
652,Extra Credit,0.00,8.00
652,Quiz 1,8.00,13.00
652,Quiz 10,1.00,1.00
652,Quiz 2,12.00,15.00
652,Quiz 3,9.00,15.00
652,Quiz 4,1.00,1.00
652,Quiz 5,8.00,20.00
652,Quiz 6,15.00,20.00
652,Quiz 7,16.00,20.00
652,Quiz 8,16.00,20.00
652,Quiz 9,0.00,1.00
653,A1 Final Score,92.00,100.00
653,A2 Final Score,70.32,100.00
653,A3 Final Score,77.89,100.00
653,Attendance Quiz 1,1.00,1.00
653,Attendance Quiz 10,1.00,1.00
653,Attendance Quiz 2,0.00,1.00
653,Attendance Quiz 3,1.00,1.00
653,Attendance Quiz 4,1.00,1.00
653,Attendance Quiz 5,1.00,1.00
653,Attendance Quiz 6,1.00,1.00
653,Attendance Quiz 7,0.00,1.00
653,Attendance Quiz 8,1.00,1.00
653,Attendance Quiz 9,100.00,100.00
653,Exam 1,77.78,100.00
653,Exam 2,102.22,100.00
653,Extra Credit,1.00,8.00
653,Quiz 1,0.00,13.00
653,Quiz 10,1.00,1.00
653,Quiz 2,9.00,15.00
653,Quiz 3,11.00,15.00
653,Quiz 4,1.00,1.00
653,Quiz 5,12.00,20.00
653,Quiz 6,17.00,20.00
653,Quiz 7,17.00,20.00
653,Quiz 8,17.00,20.00
653,Quiz 9,1.00,1.00
654,A1 Final Score,59.38,100.00
654,A2 Final Score,52.27,100.00
654,A3 Final Score,69.55,100.00
654,Attendance Quiz 1,1.00,1.00
654,Attendance Quiz 10,1.00,1.00
654,Attendance Quiz 2,0.00,1.00
654,Attendance Quiz 3,0.00,1.00
654,Attendance Quiz 4,1.00,1.00
654,Attendance Quiz 5,1.00,1.00
654,Attendance Quiz 6,1.00,1.00
654,Attendance Quiz 7,1.00,1.00
654,Attendance Quiz 8,1.00,1.00
654,Attendance Quiz 9,100.00,100.00
654,Exam 1,66.67,100.00
654,Exam 2,77.78,100.00
654,Extra Credit,2.00,8.00
654,Quiz 1,8.00,13.00
654,Quiz 10,1.00,1.00
654,Quiz 2,8.00,15.00
654,Quiz 3,8.00,15.00
654,Quiz 4,0.00,1.00
654,Quiz 5,13.00,20.00
654,Quiz 6,18.00,20.00
654,Quiz 7,18.00,20.00
654,Quiz 8,15.00,20.00
654,Quiz 9,1.00,1.00
655,A1 Final Score,47.15,100.00
655,A2 Final Score,62.58,100.00
655,A3 Final Score,5.45,100.00
655,Attendance Quiz 1,0.00,1.00
655,Attendance Quiz 10,0.00,1.00
655,Attendance Quiz 2,0.00,1.00
655,Attendance Quiz 3,0.00,1.00
655,Attendance Quiz 4,0.00,1.00
655,Attendance Quiz 5,0.00,1.00
655,Attendance Quiz 6,1.00,1.00
655,Attendance Quiz 7,0.00,1.00
655,Attendance Quiz 8,0.00,1.00
655,Attendance Quiz 9,0.00,100.00
655,Exam 1,0.00,100.00
655,Exam 2,0.00,100.00
655,Extra Credit,0.00,8.00
655,Quiz 1,0.00,13.00
655,Quiz 10,0.00,1.00
655,Quiz 2,9.00,15.00
655,Quiz 3,10.00,15.00
655,Quiz 4,1.00,1.00
655,Quiz 5,0.00,20.00
655,Quiz 6,0.00,20.00
655,Quiz 7,0.00,20.00
655,Quiz 8,0.00,20.00
655,Quiz 9,0.00,1.00
656,A1 Final Score,96.00,100.00
656,A2 Final Score,88.90,100.00
656,A3 Final Score,86.25,100.00
656,Attendance Quiz 1,1.00,1.00
656,Attendance Quiz 10,0.00,1.00
656,Attendance Quiz 2,1.00,1.00
656,Attendance Quiz 3,1.00,1.00
656,Attendance Quiz 4,1.00,1.00
656,Attendance Quiz 5,1.00,1.00
656,Attendance Quiz 6,1.00,1.00
656,Attendance Quiz 7,1.00,1.00
656,Attendance Quiz 8,1.00,1.00
656,Attendance Quiz 9,100.00,100.00
656,Exam 1,67.50,100.00
656,Exam 2,82.22,100.00
656,Extra Credit,2.00,8.00
656,Quiz 1,10.00,13.00
656,Quiz 10,1.00,1.00
656,Quiz 2,7.00,15.00
656,Quiz 3,10.00,15.00
656,Quiz 4,1.00,1.00
656,Quiz 5,17.00,20.00
656,Quiz 6,17.00,20.00
656,Quiz 7,17.00,20.00
656,Quiz 8,11.00,20.00
656,Quiz 9,1.00,1.00
657,A1 Final Score,88.53,100.00
657,A2 Final Score,83.10,100.00
657,A3 Final Score,81.55,100.00
657,Attendance Quiz 1,1.00,1.00
657,Attendance Quiz 10,1.00,1.00
657,Attendance Quiz 2,0.00,1.00
657,Attendance Quiz 3,1.00,1.00
657,Attendance Quiz 4,1.00,1.00
657,Attendance Quiz 5,1.00,1.00
657,Attendance Quiz 6,1.00,1.00
657,Attendance Quiz 7,1.00,1.00
657,Attendance Quiz 8,1.00,1.00
657,Attendance Quiz 9,100.00,100.00
657,Exam 1,71.11,100.00
657,Exam 2,86.67,100.00
657,Extra Credit,1.00,8.00
657,Quiz 1,13.00,13.00
657,Quiz 10,1.00,1.00
657,Quiz 2,12.00,15.00
657,Quiz 3,12.00,15.00
657,Quiz 4,1.00,1.00
657,Quiz 5,17.00,20.00
657,Quiz 6,14.00,20.00
657,Quiz 7,14.00,20.00
657,Quiz 8,14.00,20.00
657,Quiz 9,1.00,1.00
658,A1 Final Score,93.34,100.00
658,A2 Final Score,95.83,100.00
658,A3 Final Score,85.91,100.00
658,Attendance Quiz 1,1.00,1.00
658,Attendance Quiz 10,1.00,1.00
658,Attendance Quiz 2,0.00,1.00
658,Attendance Quiz 3,1.00,1.00
658,Attendance Quiz 4,1.00,1.00
658,Attendance Quiz 5,1.00,1.00
658,Attendance Quiz 6,1.00,1.00
658,Attendance Quiz 7,1.00,1.00
658,Attendance Quiz 8,1.00,1.00
658,Attendance Quiz 9,100.00,100.00
658,Exam 1,84.44,100.00
658,Exam 2,100.00,100.00
658,Extra Credit,5.00,8.00
658,Quiz 1,10.00,13.00
658,Quiz 10,1.00,1.00
658,Quiz 2,12.00,15.00
658,Quiz 3,10.00,15.00
658,Quiz 4,1.00,1.00
658,Quiz 5,13.00,20.00
658,Quiz 6,15.00,20.00
658,Quiz 7,15.00,20.00
658,Quiz 8,15.00,20.00
658,Quiz 9,1.00,1.00
660,A1 Final Score,93.75,100.00
660,A2 Final Score,83.40,100.00
660,A3 Final Score,81.55,100.00
660,Attendance Quiz 1,1.00,1.00
660,Attendance Quiz 10,1.00,1.00
660,Attendance Quiz 2,1.00,1.00
660,Attendance Quiz 3,1.00,1.00
660,Attendance Quiz 4,1.00,1.00
660,Attendance Quiz 5,1.00,1.00
660,Attendance Quiz 6,1.00,1.00
660,Attendance Quiz 7,1.00,1.00
660,Attendance Quiz 8,1.00,1.00
660,Attendance Quiz 9,100.00,100.00
660,Exam 1,82.22,100.00
660,Exam 2,97.78,100.00
660,Extra Credit,2.00,8.00
660,Quiz 1,12.00,13.00
660,Quiz 10,1.00,1.00
660,Quiz 2,11.00,15.00
660,Quiz 3,13.00,15.00
660,Quiz 4,1.00,1.00
660,Quiz 5,16.00,20.00
